UserID,Timestamp,IPAddress,Result,Reason,DeviceName,OperatingSystem,Location
user001,2024-11-29 10:00:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-11-29 10:01:00,203.0.113.5,Fail,Incorrect Password,Laptop001,macOS 11,Denmark
user003,2024-11-29 10:02:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-11-29 10:03:00,192.168.1.2,Fail,Account Locked,Desktop002,Windows 10,Denmark
user005,2024-11-29 10:04:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user002,2024-11-29 10:05:00,203.0.113.5,Fail,Incorrect Password,Laptop001,macOS 11,Denmark
user006,2024-11-29 10:06:00,198.51.100.3,Fail,Incorrect Password,Desktop998,Windows 11,Denmark
user007,2024-11-29 10:07:00,203.0.113.7,Success,-,Desktop
user002,2024-11-29 10:08:00,203.0.113.5,Fail,Incorrect Password,Laptop001,Windows 11,Denmark

user001,2023-12-05 08:15:00,192.168.1.1,Success,-,Desktop001,Windows 10,Denmark
user002,2024-01-14 09:22:00,203.0.113.5,Fail,Incorrect Password,Laptop001,macOS 11,Denmark
user003,2024-03-20 10:37:00,198.51.100.2,Success,-,Phone001,iOS 14,Denmark
user004,2024-02-11 11:45:00,192.168.1.2,Fail,Failed MFA,Desktop002,Windows 10,Denmark
user005,2024-04-09 12:30:00,203.0.113.6,Success,-,Tablet001,Android 11,Denmark
user006,2024-05-13 13:27:00,198.51.100.3,Fail,Incorrect Password,Desktop998,Windows 11,Denmark
user007,2024-06-16 14:34:00,203.0.113.8,Success,-,Desktop003,Windows 10,Denmark
user008,2024-07-19 15:40:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-08-22 16:25:00,203.0.113.7,Fail,Failed MFA,Laptop002,macOS 12,Denmark
user010,2024-09-24 08:10:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-10-27 09:55:00,192.168.1.1,Fail,Incorrect Password,Desktop001,Windows 10,Denmark
user002,2024-11-30 10:45:00,203.0.113.5,Success,-,Laptop001,macOS 11,Denmark
user003,2023-12-03 11:35:00,198.51.100.2,Fail,Failed MFA,Phone001,iOS 14,Denmark
user004,2024-01-06 12:25:00,192.168.1.2,Success,-,Desktop002,Windows 10,Denmark
user005,2024-02-10 13:15:00,203.0.113.6,Fail,Incorrect Password,Tablet001,Android 11,Denmark
user006,2024-03-14 14:05:00,198.51.100.3,Success,-,Desktop998,Windows 11,198.51.100.3,Denmark
user007,2024-04-17 14:55:00,203.0.113.8,Fail,Failed MFA,Desktop003,Windows 10,Denmark
user008,2024-05-21 15:45:00,192.168.1.4,Success,-,Desktop004,Windows 10,Denmark
user009,2024-06-25 16:35:00,203.0.113.7,Fail,Incorrect Password,Laptop002,macOS 12,Denmark
user010,2024-07-29 08:25:00,198.51.100.5,Success,-,Tablet002,Android 12,Denmark
user001,2024-09-01 09:15:00,192.168.1.1,Fail,Failed MFA,Desktop001,Windows 10,Denmark
